ilosc 	 alpha 	 beta 	 pj_max 	 inst 	 time 	 wynik 	 regeneracja
 10 	 0.2 	 0.02 	 30 	 	 28	0.015	2340.58	23
 10 	 0.2 	 0.02 	 30 	 	 29	0.031	4874.98	28
 10 	 0.2 	 0.02 	 30 	 	 30	0.016	3364.72	28
 10 	 0.2 	 0.02 	 30 	 	 31	0.016	1766.08	25
 10 	 0.2 	 0.02 	 30 	 	 32	0.015	2345.51	1
 10 	 0.2 	 0.02 	 30 	 	 33	0.016	2579.72	18
 10 	 0.2 	 0.02 	 30 	 	 34	0	2016.5	19
 10 	 0.2 	 0.02 	 30 	 	 35	0	1699.26	21
 10 	 0.2 	 0.02 	 30 	 	 36	0.015	2250.56	12
 10 	 0.2 	 0.02 	 30 	 	 37	0	1261.78	17
 10 	 0.2 	 0.02 	 30 	 	 38	0.016	1621.17	15
 10 	 0.2 	 0.02 	 30 	 	 39	0.015	3060.93	24
 10 	 0.2 	 0.02 	 30 	 	 40	0.032	4325.8	17
 10 	 0.2 	 0.02 	 30 	 	 41	0.015	2198.23	20
 10 	 0.2 	 0.02 	 30 	 	 42	0	2193.94	12
 10 	 0.2 	 0.02 	 30 	 	 43	0.047	5180.88	29
 10 	 0.2 	 0.02 	 30 	 	 44	0	2294.86	26
 10 	 0.2 	 0.02 	 30 	 	 45	0.031	2802.6	31
 10 	 0.2 	 0.02 	 30 	 	 46	0	1448.84	20
 10 	 0.2 	 0.02 	 30 	 	 47	0.016	3210.01	19
 10 	 0.2 	 0.02 	 30 	 	 48	0.015	3444.73	23
 10 	 0.2 	 0.02 	 30 	 	 49	0.016	3441.03	23
wart srednie: 0.73236	139367	1024	

-----------------------

-----------------------
 10 	 0.2 	 0.05 	 10 	 	 0	0	971.904	6
 10 	 0.2 	 0.05 	 10 	 	 1	0	967.696	1
 10 	 0.2 	 0.05 	 10 	 	 2	0	1269.7	9
 10 	 0.2 	 0.05 	 10 	 	 3	0	874.418	4
 10 	 0.2 	 0.05 	 10 	 	 4	0	870.631	4
 10 	 0.2 	 0.05 	 10 	 	 5	0	1175.53	7
 10 	 0.2 	 0.05 	 10 	 	 6	0	1119.19	8
 10 	 0.2 	 0.05 	 10 	 	 7	0	1276.74	9
 10 	 0.2 	 0.05 	 10 	 	 8	0	935.046	5
 10 	 0.2 	 0.05 	 10 	 	 9	0	792.925	3
 10 	 0.2 	 0.05 	 10 	 	 10	0	1497.96	7
 10 	 0.2 	 0.05 	 10 	 	 11	0	1017.37	2
 10 	 0.2 	 0.05 	 10 	 	 12	0	1191.2	8
 10 	 0.2 	 0.05 	 10 	 	 13	0	1293.43	6
 10 	 0.2 	 0.05 	 10 	 	 14	0	1590.83	9
 10 	 0.2 	 0.05 	 10 	 	 15	0	967.596	0
 10 	 0.2 	 0.05 	 10 	 	 16	0	861.207	6
 10 	 0.2 	 0.05 	 10 	 	 17	0	1231.52	7
 10 	 0.2 	 0.05 	 10 	 	 18	0	665.542	8
 10 	 0.2 	 0.05 	 10 	 	 19	0	826.305	7
 10 	 0.2 	 0.05 	 10 	 	 20	0	536.735	6
 10 	 0.2 	 0.05 	 10 	 	 21	0	1346.36	8
 10 	 0.2 	 0.05 	 10 	 	 22	0	461.173	4
 10 	 0.2 	 0.05 	 10 	 	 23	0	1218.69	9
 10 	 0.2 	 0.05 	 10 	 	 24	0	844.351	6
 10 	 0.2 	 0.05 	 10 	 	 25	0	805.245	4
 10 	 0.2 	 0.05 	 10 	 	 26	0	665.597	5
 10 	 0.2 	 0.05 	 10 	 	 27	0	796.206	5
