ilosc 	 alpha 	 beta 	 pj_max 	 inst 	 time 	 wynik 	 regeneracja
 10 	 0.2 	 0.02 	 20 	 	 14	0.062	1234.25	13
 10 	 0.2 	 0.02 	 20 	 	 15	0.016	2158.56	15
 10 	 0.2 	 0.02 	 20 	 	 16	0.047	1913.42	19
 10 	 0.2 	 0.02 	 20 	 	 17	0.047	1820.31	21
 10 	 0.2 	 0.02 	 20 	 	 18	0.031	1572.87	17
 10 	 0.2 	 0.02 	 20 	 	 19	0.016	1685.82	12
 10 	 0.2 	 0.02 	 20 	 	 20	0.046	2084.04	17
 10 	 0.2 	 0.02 	 20 	 	 21	0.016	1596.11	13
 10 	 0.2 	 0.02 	 20 	 	 22	0.031	1251.42	15
 10 	 0.2 	 0.02 	 20 	 	 23	0.032	1834.43	13
 10 	 0.2 	 0.02 	 20 	 	 24	0.031	1334.59	15
 10 	 0.2 	 0.02 	 20 	 	 25	0.031	1519.73	15
 10 	 0.2 	 0.02 	 20 	 	 26	0.031	1822	17
 10 	 0.2 	 0.02 	 20 	 	 27	0.016	1629.22	9
 10 	 0.2 	 0.02 	 20 	 	 28	0.047	1673.48	19
 10 	 0.2 	 0.02 	 20 	 	 29	0.031	1596.9	18
 10 	 0.2 	 0.02 	 20 	 	 30	0.016	1963.22	13
 10 	 0.2 	 0.02 	 20 	 	 31	0.015	1775.23	3
 10 	 0.2 	 0.02 	 20 	 	 32	0.016	1719.31	13
 10 	 0.2 	 0.02 	 20 	 	 33	0.031	1556.78	18
 10 	 0.2 	 0.02 	 20 	 	 34	0.047	1962.52	19
 10 	 0.2 	 0.02 	 20 	 	 35	0.031	1216.52	11
 10 	 0.2 	 0.02 	 20 	 	 36	0.016	1689.77	13
 10 	 0.2 	 0.02 	 20 	 	 37	0.016	1532.2	14
 10 	 0.2 	 0.02 	 20 	 	 38	0	709.316	11
 10 	 0.2 	 0.02 	 20 	 	 39	0.031	2100.95	16
 10 	 0.2 	 0.02 	 20 	 	 40	0.016	2101.05	13
 10 	 0.2 	 0.02 	 20 	 	 41	0.016	1248.68	13
 10 	 0.2 	 0.02 	 20 	 	 42	0.062	2545.67	10
 10 	 0.2 	 0.02 	 20 	 	 43	0.016	1774.79	8
 10 	 0.2 	 0.02 	 20 	 	 44	0.031	1842.69	15
 10 	 0.2 	 0.02 	 20 	 	 45	0.016	1023.79	14
 10 	 0.2 	 0.02 	 20 	 	 46	0.015	1798.55	6
 10 	 0.2 	 0.02 	 20 	 	 47	0.031	1394.02	17
 10 	 0.2 	 0.02 	 20 	 	 48	0.016	1282.61	17
 10 	 0.2 	 0.02 	 20 	 	 49	0.047	2847.03	10
wart srednie: 0.03094	1754	13	

-----------------------
 10 	 0.2 	 0.02 	 30 	 	 0	0.031	2306.17	12
 10 	 0.2 	 0.02 	 30 	 	 1	0.609	5145.98	26
 10 	 0.2 	 0.02 	 30 	 	 2	0.094	2324.36	23
 10 	 0.2 	 0.02 	 30 	 	 3	0.219	3676.16	16
 10 	 0.2 	 0.02 	 30 	 	 4	0.047	1993.27	8
 10 	 0.2 	 0.02 	 30 	 	 5	0.078	3461.76	21
 10 	 0.2 	 0.02 	 30 	 	 6	0.031	1548.57	15
 10 	 0.2 	 0.02 	 30 	 	 7	0.156	4188.86	16
 10 	 0.2 	 0.02 	 30 	 	 8	0.11	2445.36	20
 10 	 0.2 	 0.02 	 30 	 	 9	0.328	3392.82	34
 10 	 0.2 	 0.02 	 30 	 	 10	0.297	2835.68	16
 10 	 0.2 	 0.02 	 30 	 	 11	0.078	1621	8
 10 	 0.2 	 0.02 	 30 	 	 12	0.187	3287.44	28
 10 	 0.2 	 0.02 	 30 	 	 13	0.047	2136.05	18
 10 	 0.2 	 0.02 	 30 	 	 14	0.141	1986.55	24
 10 	 0.2 	 0.02 	 30 	 	 15	0.063	2411.92	4
 10 	 0.2 	 0.02 	 30 	 	 16	0.109	2520.24	22
 10 	 0.2 	 0.02 	 30 	 	 17	0.063	2067.9	19
 10 	 0.2 	 0.02 	 30 	 	 18	0.234	4935.78	26
 10 	 0.2 	 0.02 	 30 	 	 19	0.094	2162.28	20
 10 	 0.2 	 0.02 	 30 	 	 20	0.156	2269.34	24
 10 	 0.2 	 0.02 	 30 	 	 21	0.203	1954.91	26
 10 	 0.2 	 0.02 	 30 	 	 22	0.172	2343.49	21
 10 	 0.2 	 0.02 	 30 	 	 23	0.187	2625.33	29
 10 	 0.2 	 0.02 	 30 	 	 24	0.031	1537.38	13
 10 	 0.2 	 0.02 	 30 	 	 25	0.25	4515.37	24
 10 	 0.2 	 0.02 	 30 	 	 26	0.125	2762.38	17
 10 	 0.2 	 0.02 	 30 	 	 27	0.079	2483.59	23
