ilosc 	 alpha 	 beta 	 pj_max 	 inst 	 time 	 wynik 	 regeneracja
 10 	 0.2 	 0.1 	 20 	 15	0	2426.89	10
 10 	 0.2 	 0.1 	 20 	 16	0.016	3628.69	9
 10 	 0.2 	 0.1 	 20 	 17	0.015	2355.49	11
 10 	 0.2 	 0.1 	 20 	 18	0.016	2654.55	10
 10 	 0.2 	 0.1 	 20 	 19	0	1229.48	7

-----------------------
 10 	 0.2 	 0.1 	 30 	 0	0.016	3232.15	11
 10 	 0.2 	 0.1 	 30 	 1	0.016	3543.58	8
 10 	 0.2 	 0.1 	 30 	 2	0.047	3124.43	15
 10 	 0.2 	 0.1 	 30 	 3	0.047	2250.52	14
 10 	 0.2 	 0.1 	 30 	 4	0.062	3853.6	16
 10 	 0.2 	 0.1 	 30 	 5	0.031	3247.57	15
 10 	 0.2 	 0.1 	 30 	 6	0.016	2555.81	12
 10 	 0.2 	 0.1 	 30 	 7	0.015	3743.58	11
 10 	 0.2 	 0.1 	 30 	 8	0.031	3186.57	13
 10 	 0.2 	 0.1 	 30 	 9	0.016	1685.39	9
 10 	 0.2 	 0.1 	 30 	 10	0.032	4131.89	13
 10 	 0.2 	 0.1 	 30 	 11	0.015	3165.15	4
 10 	 0.2 	 0.1 	 30 	 12	0.031	4421.49	8
 10 	 0.2 	 0.1 	 30 	 13	0.016	2562.45	10
 10 	 0.2 	 0.1 	 30 	 14	0.016	1607.24	10
 10 	 0.2 	 0.1 	 30 	 15	0.047	4515.04	15
 10 	 0.2 	 0.1 	 30 	 16	0.031	4381.37	15
 10 	 0.2 	 0.1 	 30 	 17	0.047	5418.44	10
 10 	 0.2 	 0.1 	 30 	 18	0.094	4969.79	11
 10 	 0.2 	 0.1 	 30 	 19	0.031	2577.14	8

-----------------------

-----------------------

-----------------------
 10 	 0.5 	 0.02 	 10 	 0	0.031	956.189	1
 10 	 0.5 	 0.02 	 10 	 1	0.14	953.452	18
 10 	 0.5 	 0.02 	 10 	 2	0.063	624.035	7
 10 	 0.5 	 0.02 	 10 	 3	0.078	902.287	20
 10 	 0.5 	 0.02 	 10 	 4	0.078	838.184	10
 10 	 0.5 	 0.02 	 10 	 5	0.094	705.874	17
 10 	 0.5 	 0.02 	 10 	 6	0.015	496.761	4
 10 	 0.5 	 0.02 	 10 	 7	0.047	555.443	18
 10 	 0.5 	 0.02 	 10 	 8	0.094	1518.74	22
 10 	 0.5 	 0.02 	 10 	 9	0.078	841.589	16
 10 	 0.5 	 0.02 	 10 	 10	0.062	879.849	23
 10 	 0.5 	 0.02 	 10 	 11	0.079	775.812	24
 10 	 0.5 	 0.02 	 10 	 12	0.031	817.904	0
 10 	 0.5 	 0.02 	 10 	 13	0.063	1452.29	4
 10 	 0.5 	 0.02 	 10 	 14	0.062	666.155	18
 10 	 0.5 	 0.02 	 10 	 15	0.063	647.671	15
 10 	 0.5 	 0.02 	 10 	 16	0.047	502.071	5
 10 	 0.5 	 0.02 	 10 	 17	0.062	824.957	23
 10 	 0.5 	 0.02 	 10 	 18	0.063	467.515	2
 10 	 0.5 	 0.02 	 10 	 19	0.062	865.91	16

-----------------------
 10 	 0.5 	 0.02 	 20 	 0	0.36	1572.45	33
 10 	 0.5 	 0.02 	 20 	 1	0.641	2401.13	45
 10 	 0.5 	 0.02 	 20 	 2	0.14	1173.19	16
 10 	 0.5 	 0.02 	 20 	 3	0.25	1166.58	14
 10 	 0.5 	 0.02 	 20 	 4	0.672	1173.71	29
 10 	 0.5 	 0.02 	 20 	 5	0.422	1724.23	44
 10 	 0.5 	 0.02 	 20 	 6	0.406	1713.25	22
 10 	 0.5 	 0.02 	 20 	 7	0.172	1091.95	20
 10 	 0.5 	 0.02 	 20 	 8	0.688	1903.17	36
 10 	 0.5 	 0.02 	 20 	 9	0.422	1165.5	10
 10 	 0.5 	 0.02 	 20 	 10	0.422	1773.06	24
 10 	 0.5 	 0.02 	 20 	 11	1.406	3168.75	30
